,txs_daily,txs_cumulative,erc20_transfers_daily,erc20_transfers_cumulative,erc721_transfers_daily,erc721_transfers_cumulative,erc1155_transfers_daily,erc1155_transfers_cumulative,internal_operations_daily,internal_operations_cumulative,contracts_daily,contracts_verified_daily,contracts_verified_cumulative,senders_daily,senders_cumulative,receivers_daily,receivers_cumulative,unique_addresses_daily,addresses_daily,addresses_cumulative,gas_used_daily,gas_used_cumulative,burned_fees_daily,burned_fees_cumulative,tvl_daily,stablecoins_daily
2025-01-01 00:00:00+00:00,264171,528409248,591393,587712709,7567,32963518,5116,7971108,4443910,4780818411,3651,5,592978,138434,25115403,128003,27046235,27280158,145323,27280158,50469557357,73218281529663,1.952666780850895e+20,4605466667200814084258219,1314009432.80678,2286998738.0
2025-01-02 00:00:00+00:00,331104,528740352,709515,588422224,10298,32973816,6268,7977376,5219894,4786038305,4354,16,592978,133840,25156846,123383,27093282,27326551,142496,27326551,60934621291,73279216150954,2.477561234378363e+20,4605466669769479009301334,1405079823.9433978,2288304459.0
2025-01-03 00:00:00+00:00,341280,529081632,752426,589174650,14191,32988007,7178,7984554,5065198,4791103503,3684,27,592978,104425,25179534,93128,27117751,27351444,112426,27351444,61268002338,73340484153292,2.778423196866976e+20,4605466669769479009301334,1410526126.4531586,2361942060.0
2025-01-04 00:00:00+00:00,393841,529475473,891250,590065900,16696,33004703,7524,7992078,5462652,4796566155,7296,15,592978,194225,25238261,247374,27230214,27463242,266477,27463242,72472195322,73412956348614,2.522301269260469e+20,4605466671518909339632372,1425744298.6084461,2375621983.0
2025-01-05 00:00:00+00:00,414366,529889839,773801,590839701,12614,33017317,6691,7998769,4547970,4801114125,21393,78,592978,129883,25332731,55589,27268096,27502252,137491,27502252,63331408859,73476287757473,2.2577459424595843e+20,4605466671518909339632372,1434970049.6642416,2361949296.0
2025-01-06 00:00:00+00:00,466028,530355867,976431,591816132,19333,33036650,8758,8007527,5961365,4807075490,3846,70,592978,61403,25351430,43533,27284663,27519314,71339,27519314,80581185670,73556868943143,3.403003983192472e+20,4605466671518909339632372,1455470325.4013855,2357081490.0
2025-01-07 00:00:00+00:00,485851,530841718,859331,592675463,43976,33080626,7796,8015323,5686164,4812761654,10573,104,592978,122782,25426079,146614,27420368,27652487,199442,27652487,77922795098,73634791738241,3.889511391957667e+20,4605466684255129202705019,1465142081.3119352,1822615806.0
2025-01-08 00:00:00+00:00,595329,531437047,943280,593618743,29330,33109956,9924,8025247,6207356,4818969010,17003,61,592978,161806,25537408,54647,27448629,27680263,180869,27680263,83953767431,73718745505672,3.919691545770213e+20,4605466672454274389670178,1350394352.3764985,1749930884.0
2025-01-09 00:00:00+00:00,480225,531917272,849809,594468552,15049,33125005,8700,8033947,5716181,4824685191,62916,50,592978,165929,25625312,114350,27522731,27753922,174113,27753922,83643194732,73802388700404,3.13737673151271e+20,4605466690502850205483090,1308825847.647409,1766937564.0
2025-01-10 00:00:00+00:00,407227,532324499,850593,595319145,13420,33138425,8428,8042375,4819498,4829504689,6610,27,592978,82733,25655060,37358,27534455,27765844,91504,27765844,65231591783,73867620292187,3.0796762726900525e+20,4605466694487090958121635,1333071679.5963411,1776690151.0
2025-01-11 00:00:00+00:00,447263,532771762,785219,596104364,13511,33151936,6444,8048819,4483771,4833988460,4168,24,592978,112047,25728162,67022,27574664,27805879,119518,27805879,63472684043,73931092976230,2.0549605199264317e+20,4605466694487090958121635,1318309924.2464743,1784815581.0
2025-01-12 00:00:00+00:00,370376,533142138,747735,596852099,9847,33161783,5265,8054084,3965890,4837954350,20148,49,592978,92669,25771971,51648,27602878,27834569,102341,27834569,58173009738,73989265985968,2.050765580038144e+20,4605466694487090958121635,1326421252.4028637,1773845624.0
2025-01-13 00:00:00+00:00,493231,533635369,968091,597820190,14726,33176509,9555,8063639,6399027,4844353377,6015,44,592978,84411,25809235,39438,27616261,27848178,92786,27848178,81781611939,74071047597907,5.1223265613868925e+20,4605466694487090958121635,1272364460.9575393,1777918269.0
2025-01-14 00:00:00+00:00,528855,534164224,941382,598761572,16994,33193503,6528,8070167,4805416,4849158793,5547,85,592978,118823,25881449,73894,27665644,27897903,126653,27897903,73274018181,74144321616088,2.3632768719754884e+20,4605466703139394946317254,1331909379.7613688,1640670102.0
2025-01-15 00:00:00+00:00,470583,534634807,849164,599610736,13280,33206783,8421,8078588,5636720,4854795513,5530,44,592978,90968,25917361,44828,27676079,27908514,99307,27908514,79355831720,74223677447808,4.1209605999058485e+20,4605466704722614196317254,1357827699.9186838,1624562355.0
2025-01-16 00:00:00+00:00,357831,534992638,653734,600264470,11924,33218707,8488,8087076,5307682,4860103195,2496,35,592978,85070,25959867,47333,27703271,27936035,94762,27936035,66815036317,74290492484125,3.837814996965547e+20,4605466708001574447939288,1400321160.520906,1679340867.0
2025-01-17 00:00:00+00:00,317809,535310447,672284,600936754,10707,33229414,7748,8094824,5210614,4865313809,10313,39,592978,57315,25982909,47087,27729127,27961156,67588,27961156,63685689452,74354178173577,2.8669165456134717e+20,4605466710139259698282077,1464189636.089149,1672406193.0
2025-01-18 00:00:00+00:00,337670,535648117,657151,601593905,11392,33240806,9095,8103919,5468087,4870781896,4070,37,592978,50342,25996916,38526,27747067,27979275,59933,27979275,65113665348,74419291838925,3.678643943616425e+20,4605466710139259698282077,1426531232.527727,1806610071.0
2025-01-19 00:00:00+00:00,434431,536082548,822888,602416793,10987,33251793,11083,8115002,7739704,4878521600,3724,36,592978,55226,26011079,47468,27763005,27994740,69310,27994740,85737677108,74505029516033,9.009807466720756e+20,4605466710139259698282077,1394468519.0013714,1646914311.0
2025-01-20 00:00:00+00:00,452631,536535179,861337,603278130,7477,33259270,8086,8123088,7858592,4886380192,12045,42,592978,64361,26032219,51203,27787341,28018617,72729,28018617,88246064708,74593275580741,9.853196349575261e+20,4605466717456575836445698,1426650989.514034,1453112572.0
2025-01-21 00:00:00+00:00,336475,536871654,711123,603989253,10438,33269708,10063,8133151,5889598,4892269790,3681,63,592978,45881,26042494,34217,27797115,28028307,53934,28028307,69631863658,74662907444399,3.8021792280082606e+20,4605466717456575836445698,1376975918.9419188,1498437643.0
2025-01-22 00:00:00+00:00,287194,537158848,543349,604532602,11139,33280847,7867,8141018,4472889,4896742679,4772,40,592978,54589,26060056,43249,27815154,28045903,62658,28045903,57846952977,74720754397376,3.0306143332358986e+20,4605466718337299206795977,1404550051.0251791,1637534793.0
2025-01-23 00:00:00+00:00,333144,537491992,652313,605184915,14615,33295462,8513,8149531,5654741,4902397420,3467,38,592978,53536,26070795,38187,27828119,28058588,61510,28058588,67787578779,74788541976155,3.889942794663944e+20,4605466718337299206795977,1374571470.9028609,1673076640.0
2025-01-24 00:00:00+00:00,382203,537874195,817402,606002317,15452,33310914,7887,8157418,7750915,4910148335,222278,62,592978,268169,26310547,258365,28074010,28306883,276891,28306883,113827250925,74902369227080,4.141450245917664e+20,4605466721960575427530020,1425953088.3147037,1685263588.0
2025-01-25 00:00:00+00:00,318464,538192659,694743,606697060,21320,33332234,7170,8164588,5155018,4915303353,10774,10,592978,66569,26334849,51906,28104758,28337383,77301,28337383,66576624857,74968945851937,2.621405997208396e+20,4605466721960575427530020,1417966841.3472257,1780438914.0
2025-01-26 00:00:00+00:00,294664,538487323,679378,607376438,20331,33352565,6958,8171546,5431653,4920735006,8868,7,592978,53972,26355846,42691,28129445,28362228,63190,28362228,70217768997,75039163620934,2.6872772657644824e+20,4605466721960575427530020,1471336601.8213625,1796830160.0
2025-01-27 00:00:00+00:00,361700,538849023,766315,608142753,22526,33375091,9757,8181303,7387862,4928122868,6783,14,592978,52161,26368881,41438,28143884,28376907,62267,28376907,85585045325,75124748666259,6.108309821510193e+20,4605466725783974481293463,1380349424.9766512,1808382377.0
2025-01-28 00:00:00+00:00,284594,539133617,599423,608742176,18387,33393478,7248,8188551,5567478,4933690346,2640,50,592978,48366,26376945,38122,28157569,28390819,57176,28390819,67816488196,75192565154455,3.254749866093344e+20,4605466732453558234194427,1414009090.5123029,1837911160.0
2025-01-29 00:00:00+00:00,307509,539441126,595384,609337560,14286,33407764,8495,8197046,6016832,4939707178,3623,33,592978,49109,26391039,39713,28172979,28406486,57899,28406486,77037340096,75269602494551,3.8599439623836474e+20,4605466732453558234194427,1386773180.9336092,1856174661.0
2025-01-30 00:00:00+00:00,277685,539718811,557950,609895510,12920,33420684,9737,8206783,6334370,4946041548,6589,40,592978,53506,26400483,42848,28186512,28420244,63282,28420244,82369964549,75351972459100,3.5430994233562635e+20,4605466732453558234194427,1433064866.0123746,1855476974.0
2025-01-31 00:00:00+00:00,311997,540030808,726303,610621813,65291,33485975,7528,8214311,7279895,4953321443,164028,162,592978,246749,26554317,236814,28343530,28578339,256249,28578339,115559531652,75467531990752,3.9392434425667355e+20,4605466732453558234194427,1451936088.9910316,1862496730.0
2025-02-01 00:00:00+00:00,342367,540373175,662274,611284087,99373,33585348,6559,8220870,8302001,4961623444,112773,13,592978,191804,26706059,182127,28496887,28731066,200840,28731066,118059246546,75585591237298,3.486772465564976e+20,4605466751787973668270374,1424574703.930626,1874727322.0
2025-02-02 00:00:00+00:00,450411,540823586,983773,612267860,12612,33597960,8449,8229319,9315674,4970939118,64368,19,592978,149307,26784881,137766,28577800,28811747,158941,28811747,110882991655,75696474228953,2.0909500764005684e+21,4605466751787973668270374,1361147877.476445,1893244047.0
2025-02-03 00:00:00+00:00,579582,541403168,1159668,613427528,15861,33613821,7888,8237207,11861577,4982800695,97332,34,592978,191434,26890380,177979,28688000,28922576,201111,28922576,142543568360,75839017797313,7.162204757874206e+21,4605466753904746168270374,1209720196.6368427,1902255014.0
2025-02-04 00:00:00+00:00,439861,541843029,857557,614285085,15346,33629167,7592,8244799,9451888,4992252583,246692,48,592978,302176,27153414,289179,28952477,29188192,310377,29188192,141817264782,75980835062095,6.881437060207161e+20,4605466753904746168270374,1297088739.4751203,2142184821.0
2025-02-05 00:00:00+00:00,339485,542182514,692452,614977537,15106,33644273,6247,8251046,8376094,5000628677,334032,34,592978,387595,27506880,374797,29311879,29548896,395242,29548896,137771795903,76118606857998,4.77355787454056e+20,4605466755453357068519284,1310779442.360803,2238018943.0
2025-02-06 00:00:00+00:00,326563,542509077,687246,615664783,20992,33665265,6473,8257519,8587111,5009215788,338308,26,592978,382341,27866133,370150,29677880,29912802,390465,29912802,138818590245,76257425448243,5.383914586157099e+20,4605466755453357068519284,1303755194.165611,2290480977.0
2025-02-07 00:00:00+00:00,311104,542820181,775816,616440599,17431,33682696,7751,8265270,8819884,5018035672,334206,53,592978,396284,28220570,385843,30037712,30272682,405265,30272682,138359942899,76395785391142,5.6711129078048725e+20,4605466759748707072741134,1270373626.1994934,2302184775.0
2025-02-08 00:00:00+00:00,261503,543081684,478853,616919452,16707,33699403,6910,8272180,5492604,5023528276,158076,5,592978,199723,28387260,189956,30199624,30435537,208733,30435537,89579267565,76485364658707,2.8300308948145508e+20,4605466761859394749243945,1232247570.4720669,2319153629.0
2025-02-09 00:00:00+00:00,312281,543393965,648881,617568333,19534,33718937,8251,8280431,6921164,5030449440,228920,11,592978,273429,28629977,262672,30440464,30677463,282975,30677463,110896672857,76596261331564,4.1481542675875326e+20,4605466761859394749243945,1262410108.586358,2318314951.0
