,txs_daily,txs_cumulative,erc20_transfers_daily,erc20_transfers_cumulative,erc721_transfers_daily,erc721_transfers_cumulative,erc1155_transfers_daily,erc1155_transfers_cumulative,internal_operations_daily,internal_operations_cumulative,contracts_daily,contracts_verified_daily,contracts_verified_cumulative,senders_daily,senders_cumulative,receivers_daily,receivers_cumulative,unique_addresses_daily,addresses_daily,addresses_cumulative,gas_used_daily,gas_used_cumulative,burned_fees_daily,burned_fees_cumulative,tvl_daily,stablecoins_daily
2025-01-01 00:00:00+00:00,13413397,1432467290,10974415,2017144387,795016,381133661,91600,164750031,173889817,28200367062,57332,3.0,240973,3218481,205414229,1039788,213255829,213903445,3307103,213903445,1748538042816,281980761196040,9.552220955986035e+19,25924446103337650653649,3482445048.1537094,3627845609.0
2025-01-02 00:00:00+00:00,12487182,1444954472,8680592,2025824979,667127,381800788,132062,164882093,184130149,28384497211,30612,14.0,240973,915013,205803458,710896,213669666,214319802,994369,214319802,1726065816489,283706827012529,2.015696723651204e+20,26126015775702771042775,3639574050.6547184,3610794839.0
2025-01-03 00:00:00+00:00,12451647,1457406119,8257551,2034082530,646853,382447641,152649,165034742,188963209,28573460420,30665,27.0,240973,1163255,206317861,980428,214247029,214895684,1265820,214895684,1733566122772,285440393135301,1.8076090972289604e+20,26306776685425667082718,3655582825.276159,3631646398.0
2025-01-04 00:00:00+00:00,11792016,1469198135,9231354,2043313884,562076,383009717,189451,165224193,183208022,28756668442,35693,8.0,240973,1433777,206942871,1185066,214888722,215537613,1535035,215537613,1732550423808,287172943559109,1.3334934036203168e+20,26440126025787698760159,3741829439.3321037,3661182922.0
2025-01-05 00:00:00+00:00,10484786,1479682921,9210411,2052524295,724414,383734131,150364,165374557,185656572,28942325014,41747,12.0,240973,1569431,207661655,1047111,215583829,216220351,1637181,216220351,1726810219455,288899753778564,1.0761435134900475e+20,26547740377136703506914,3790667706.5223107,3676601322.0
2025-01-06 00:00:00+00:00,11919854,1491602775,9314226,2061838521,784594,384518725,182266,165556823,184497807,29126822821,43269,6.0,240973,1252944,208217809,1048619,216179817,216819868,1445001,216819868,1727054638722,290626808417286,1.3548949686393792e+20,26683229874000641427939,3790898535.377859,3680999171.0
2025-01-07 00:00:00+00:00,11196515,1502799290,9003775,2070842296,851781,385370506,185045,165741868,183287867,29310110688,40967,11.0,240973,1237693,208724543,1013125,216754254,217397716,1336884,217397716,1728736826926,292355545244212,1.477809417086241e+20,26831010815709265529315,3810961375.152859,3676289895.0
2025-01-08 00:00:00+00:00,11075389,1513874679,8299166,2079141462,933792,386304298,192654,165934522,191379676,29501490364,36206,27.0,240973,1036023,209053763,776879,217098712,217739554,1109744,217739554,1720897026926,294076442271138,1.4904734995767135e+20,26980058165666936883683,3577165745.2464285,3675655251.0
2025-01-09 00:00:00+00:00,11429723,1525304402,8806874,2087948336,1037595,387341893,164525,166099047,183259701,29684750065,37243,14.0,240973,1277184,209470224,853391,217541694,218185157,1362986,218185157,1714394337985,295790836609123,1.3346885961146352e+20,27113527025278400399844,3486603094.222736,3626602267.0
2025-01-10 00:00:00+00:00,10596683,1535901085,10292963,2098241299,1456517,388798410,170134,166269181,188180134,29872930199,94455,16.0,240973,1954930,210080799,1361901,218193679,218835349,2163454,218835349,1741563608948,297532400218071,1.3689634382404436e+20,27250423369102444759525,3523807378.2315335,3656227056.0
