,txs_daily,txs_cumulative,erc20_transfers_daily,erc20_transfers_cumulative,erc721_transfers_daily,erc721_transfers_cumulative,erc1155_transfers_daily,erc1155_transfers_cumulative,internal_operations_daily,internal_operations_cumulative,contracts_daily,contracts_verified_daily,contracts_verified_cumulative,senders_daily,senders_cumulative,receivers_daily,receivers_cumulative,unique_addresses_daily,addresses_daily,addresses_cumulative,gas_used_daily,gas_used_cumulative,burned_fees_daily,burned_fees_cumulative,tvl_daily,stablecoins_daily
2025-01-01 00:00:00+00:00,1038692,2640586785,1248305,735935375,1023640,33099375,5182,36142465,6719896,11077859966,5523,37.0,152457,368620,275039924,317125,319048005,320842245,451206,320842245,108539934301,208893872150577,2.2446015239624343e+21,9429277406230896392825525,64655338683.366394,111372260672.0
2025-01-02 00:00:00+00:00,1085867,2641672652,1182210,737117585,1419288,34518663,2209,36144674,6205638,11084065604,4949,32.0,152457,400075,275133452,335207,319156303,320951765,488380,320951765,108410360657,209002282511234,2.641458511156167e+21,9431918864742052559874854,67701265656.07144,110637037989.0
2025-01-03 00:00:00+00:00,1238775,2642911427,1381092,738498677,128096,34646759,2931,36147605,7436016,11091501620,5164,44.0,152457,455134,275232829,372572,319271456,321068218,557352,321068218,108628762992,209110911274226,1.5396397546307636e+21,9433458504496683323517779,66970232113.91231,111707969067.0
2025-01-04 00:00:00+00:00,1165788,2644077215,1450270,739948947,92614,34739373,3047,36150652,7912588,11099414208,14274,34.0,152457,440656,275299727,368907,319370301,321168178,539124,321168178,108714013914,209219625288140,1.269820481847904e+21,9434728324978531227691919,69058172785.19708,112777003355.0
2025-01-05 00:00:00+00:00,1141630,2645218845,1448603,741397550,71145,34810518,3179,36153831,7881938,11107296146,4310,32.0,152457,451399,275391397,370660,319472153,321271180,535666,321271180,108166242541,209327791530681,1.0338023722743145e+21,9435762127350805542366103,69560899799.80536,112974263230.0
2025-01-06 00:00:00+00:00,1215944,2646434789,1428174,742825724,48070,34858588,2575,36156406,7850536,11115146682,5867,34.0,152457,435130,275511429,359840,319598948,321399408,523276,321399408,108327784345,209436119315026,1.812883970117132e+21,9437575011320922674457525,70172620161.0594,113266738044.0
2025-01-07 00:00:00+00:00,1213583,2647648372,1427619,744253343,60987,34919575,3337,36159743,7572779,11122719461,5605,47.0,152457,459400,275643891,375707,319698689,321500275,554502,321500275,108718992899,209544838307925,1.391401739781683e+21,9438966413060704357477354,70869953385.15335,113673193157.0
2025-01-08 00:00:00+00:00,1194777,2648843149,1466107,745719450,59374,34978949,3270,36163013,7564730,11130284191,5765,76.0,152457,437423,275750543,354285,319798963,321601683,531258,321601683,107939214464,209652777522389,1.2177544346746196e+21,9440184167495378977057832,65239254391.32674,113215204407.0
2025-01-09 00:00:00+00:00,1202020,2650045169,1441922,747161372,68481,35047430,263644,36426657,7545276,11137829467,5876,49.0,152457,450591,275848773,353546,319896686,321696433,542670,321696433,108405189145,209761182711534,1.0923932052951317e+21,9441276560700674108714029,64558543292.43498,113092445791.0
2025-01-10 00:00:00+00:00,1187160,2651232329,1405434,748566806,59377,35106807,4062,36430719,7668107,11145497574,5822,53.0,152457,457078,275933737,359822,319989205,321789996,550274,321789996,107960632066,209869143343600,9.27255724783642e+20,9442203816425457750797371,64587517995.33502,112919084208.0
2025-01-11 00:00:00+00:00,1124689,2652357018,1473340,750040146,77753,35184560,240348,36671067,7736553,11153234127,8712,41.0,152457,494943,276046993,391644,320061908,321863520,585280,321863520,108976257636,209978119601236,5.0354502020427e+20,9442707361445662020824128,63881718673.35466,113157470800.0
2025-01-12 00:00:00+00:00,1096296,2653453314,1352351,751392497,72168,35256728,83722,36754789,7485264,11160719391,17061,55.0,152457,457079,276185794,362417,320219023,322022409,543704,322022409,108719036293,210086838637529,4.2988475710528985e+20,9443137246202767310679113,63706702883.35211,113113246789.0
2025-01-13 00:00:00+00:00,1214748,2654668062,1458129,752850626,49252,35305980,28492,36783281,7517000,11168236391,7595,32.0,152457,467823,276265420,332253,320316308,322120793,557033,322120793,108247060424,210195085697953,1.11138125237185e+21,9444248627455139160878157,61797869434.27254,113455879285.0
2025-01-14 00:00:00+00:00,1226634,2655894696,1300802,754151428,45679,35351659,6309,36789590,7597404,11175833795,7115,41.0,152457,499130,276333102,357361,320410837,322208720,593655,322208720,108177428684,210303263126637,9.266621115070445e+20,9445175289566646205246555,64124963199.18793,113695381989.0
2025-01-15 00:00:00+00:00,1236203,2657130899,1386763,755538191,45861,35397520,18839,36808429,7621217,11183455012,8247,32.0,152457,479292,276473085,368618,320558559,322358105,573472,322358105,108634938647,210411898065284,1.122669217258776e+21,9446297958783904981281887,63881035263.40743,113861723184.0
2025-01-16 00:00:00+00:00,1244911,2658375810,1349549,756887740,35335,35432855,53281,36861710,7337204,11190792216,6708,39.0,152457,464259,276571949,372331,320673730,322474572,559201,322474572,108607454982,210520505520266,9.452395033608579e+20,9447243198287265839410284,66099942674.67015,114572834190.0
2025-01-17 00:00:00+00:00,1242536,2659618346,1340735,758228475,43913,35476768,608313,37470023,7131219,11197923435,7461,28.0,152457,453163,276688947,361748,320826019,322628578,548397,322628578,108398872609,210628904392875,1.1530720915235007e+21,9448396270378789340277870,67678881461.58891,114755583524.0
2025-01-18 00:00:00+00:00,1236786,2660855132,1365879,759594354,36788,35513556,1759,37471782,7882214,11205805649,5413,17.0,152457,418100,276773816,370741,320923832,322727493,520214,322727493,108098408305,210737002801180,1.9666483134795117e+21,9450362918692268851686532,65261276136.41144,115744355932.0
2025-01-19 00:00:00+00:00,1339126,2662194258,1356422,760950776,23866,35537422,1229,37473011,7542764,11213348413,5192,2.0,152457,452190,276939105,434356,321097068,322902682,590614,322902682,108340582677,210845343383857,4.902196513247224e+21,9455265115205516076084603,64113817413.93587,115131651562.0
2025-01-20 00:00:00+00:00,1388867,2663583125,1281153,762231929,15314,35552736,1627,37474638,7187270,11220535683,5598,11.0,152457,486240,277110242,459061,321309602,323117614,626117,323117614,108381465549,210953724849406,4.4034052260899424e+21,9459668520431606018436493,66754190345.84096,114238045927.0
2025-01-21 00:00:00+00:00,1266038,2664849163,1356724,763588653,27297,35580033,2698,37477336,7609560,11228145243,8055,24.0,152457,499809,277195605,422008,321429270,323226282,610160,323226282,108422801233,211062147650639,1.8339826882886343e+21,9461502503119894653005226,65096663810.27141,113107355681.0
2025-01-22 00:00:00+00:00,1267992,2666117155,1344190,764932843,38749,35618782,3226,37480562,7433037,11235578280,5246,28.0,152457,487568,277307544,411581,321553088,323351488,599781,323351488,108157756757,211170305407396,1.2826489810785814e+21,9462785152100973234449893,65771228850.34491,115287435612.0
2025-01-23 00:00:00+00:00,1275759,2667392914,1339639,766272482,53252,35672034,151123,37631685,7477909,11243056189,5383,40.0,152457,494668,277437119,387713,321701945,323502016,605387,323502016,108944661757,211279250069153,1.520490724456296e+21,9464305642825429530537491,63855094670.61522,115863617159.0
2025-01-24 00:00:00+00:00,1371969,2668764883,1303733,767576215,45454,35717488,6639,37638324,7220694,11250276883,5464,16.0,152457,522732,277594241,424369,321875648,323669412,633869,323669412,108701262624,211387951331777,1.3726409115859063e+21,9465678283737015436799561,66968744129.18047,116402377297.0
2025-01-25 00:00:00+00:00,1407927,2670172810,1278448,768854663,46161,35763649,3010,37641334,7416370,11257693253,5571,25.0,152457,626263,277743430,500257,322093365,323889564,788172,323889564,109193573899,211497144905676,7.920006655962014e+20,9466470284402611638201951,65485495878.56981,116421899110.0
2025-01-26 00:00:00+00:00,1225741,2671398551,1347100,770201763,41941,35805590,3914,37645248,7663045,11265356298,6115,31.0,152457,499599,277892145,413621,322230448,324028180,610229,324028180,108912177309,211606057082985,7.38008646518734e+20,9467208293049130372263543,65678207278.38523,116363457124.0
