,txs_daily,txs_cumulative,erc20_transfers_daily,erc20_transfers_cumulative,erc721_transfers_daily,erc721_transfers_cumulative,erc1155_transfers_daily,erc1155_transfers_cumulative,internal_operations_daily,internal_operations_cumulative,contracts_daily,contracts_verified_daily,contracts_verified_cumulative,senders_daily,senders_cumulative,receivers_daily,receivers_cumulative,unique_addresses_daily,addresses_daily,addresses_cumulative,gas_used_daily,gas_used_cumulative,burned_fees_daily,burned_fees_cumulative,tvl_daily,stablecoins_daily
2025-01-01 00:00:00+00:00,670398,428086966,1763156,797364981,151875,40029946,215215,122138945,24550635,12252779081,235564,,383669,742162,172374460,728993,176743387,177148254,762569,177148254.0,246268457844,186104814825300,2.940878146098786e+18,7102446591221688930455,751104811.0076294,1394399972.0
2025-01-02 00:00:00+00:00,878363,428965329,1879871,799244852,82836,40112782,87792,122226737,27694281,12280473362,146168,1.0,383669,543444,172543934,515306,176917789,177322526,571131,177322526.0,261620674473,186366435499773,3.585082376860043e+18,7106031673598548973207,771951649.5914893,1372269433.0
2025-01-03 00:00:00+00:00,821861,429787190,1942005,801186857,80517,40193299,270107,122496844,29401263,12309874625,312363,,383669,618192,172894091,583157,177285613,177684573,639573,177684573.0,304143891420,186670579391193,2.866336789582748e+18,7108898010388131721367,774979744.5665176,1367976102.0
2025-01-04 00:00:00+00:00,903167,430690357,2049100,803235957,86953,40280252,95653,122592497,35508745,12345383370,318343,2.0,383669,868086,173260900,854700,177666566,178067244,890740,178067244.0,368148946916,187038728338109,2.8745814378357094e+18,7111772591825967430807,797382357.541065,1370403136.0
2025-01-05 00:00:00+00:00,787301,431477658,2434605,805670562,77540,40357792,469259,123061756,33016173,12378399543,418243,1.0,383669,1049759,173762178,1024446,178171455,178574416,1066506,,339002438096,187377730776205,2.0797590088675476e+18,7113852350834834978199,799852346.082905,1370174649.0
2025-01-06 00:00:00+00:00,727662,432205320,2050146,807720708,73052,40430844,138566,123200322,25952472,12404352015,199806,4.0,383669,556724,173961191,530175,178370791,178768358,571587,178768358.0,253288477458,187631019253663,3.4758304772994447e+18,7117328181312134422935,812865532.4962118,1369986832.0
2025-01-07 00:00:00+00:00,852590,433057910,1823165,809543873,111248,40542092,131286,123331608,30183763,12434535778,125961,2.0,383669,391877,174076831,372633,178502413,178900568,408548,178900568.0,278778900983,187909798154646,5.768535394906641e+18,7123096716707041065367,805077900.254978,1354808634.0
2025-01-08 00:00:00+00:00,840977,433898887,2019774,811563647,100544,40642636,84514,123416122,28657979,12463193757,166224,3.0,383669,584613,174274628,560770,178710322,179104666,610843,179104666.0,269902923834,188179701078480,6.774509379645954e+18,7129871226086687019415,752748081.8601658,1363840388.0
2025-01-09 00:00:00+00:00,798418,434697305,2288410,813852057,89844,40732480,146663,123562785,31353204,12494546961,59144,4.0,383669,338355,174371170,292654,178814914,179209720,352345,179209720.0,277407489155,188457108567635,4.42243375171615e+18,7134293659838403169175,730656924.5575505,1363881073.0
2025-01-10 00:00:00+00:00,818432,435515737,2266216,816118273,86832,40819312,546343,124109128,34278774,12528825735,65904,2.0,383669,440640,174437724,397840,178885219,179280336,451435,179280336.0,296312799893,188753421367528,4.357331429587635e+18,7138650991267990804375,737557601.9465371,1372322388.0
2025-01-11 00:00:00+00:00,797750,436313487,2223787,818342060,81565,40900877,159821,124268949,35818365,12564644100,246000,,383669,794878,174685366,750727,179126060,179522243,810012,179522243.0,323218107658,189076639475186,1.8866779400419397e+18,7140537669208032743831,727580728.7988093,1365745386.0
2025-01-12 00:00:00+00:00,757864,437071351,2476685,820818745,89363,40990240,639848,124908797,37159877,12601803977,424480,1.0,383669,1072709,175110318,1043916,179564026,179962150,1084357,179962150.0,359038938531,189435678413717,1.7646704165965683e+18,7142302339624629312151,729056517.0680021,1368212019.0
2025-01-13 00:00:00+00:00,1186753,438258104,2027952,822846697,112873,41103113,454509,125363306,39451692,12641255669,101618,3.0,383669,413375,175238653,374844,179697026,180095741,427821,180095741.0,338333109673,189774011523390,7.31100932752619e+18,7149613348952155502231,690471811.2228899,1368817426.0
2025-01-14 00:00:00+00:00,856457,439114561,2051369,824898066,119382,41222495,105703,125469009,36860717,12678116386,183690,4.0,383669,528460,175445178,480108,179905910,180305554,540993,180305554.0,313953659516,190087965182906,4.84011914627233e+18,7154453468098427831959,718135623.5103314,1367739859.0
2025-01-15 00:00:00+00:00,743940,439858501,1405985,826304051,95266,41317761,199825,125668834,31830670,12709947056,65080,1.0,383669,291335,175514829,259118,179975957,180375913,303941,180375913.0,268332257787,190356297440693,8.168744071957594e+18,7162622212170385426071,716715165.6072102,1370322654.0
2025-01-16 00:00:00+00:00,741140,440599641,1422472,827726523,92138,41409899,199358,125868192,31362174,12741309230,154261,5.0,383669,406024,175689351,369131,180153494,180554240,418324,180554240.0,277777396982,190634074837675,4.290928416971896e+18,7166913140587357322391,742866872.8129656,1371817967.0
2025-01-17 00:00:00+00:00,722969,441322610,1760034,829486557,86393,41496292,203172,126071364,32651058,12773960288,172008,,383669,604762,175879912,569219,180349703,180748748,617401,180748748.0,284798051842,190918872889517,4.327651352403392e+18,7171240791939760713879,751016458.8316627,1368753144.0
2025-01-18 00:00:00+00:00,732390,442055000,1861642,831348199,125252,41621544,26311,126097675,34422786,12808383074,119369,2.0,383669,533384,175985125,506272,180469155,180860352,543543,180860352.0,282739707928,191201612597445,5.037795524104296e+18,7176278587463865010327,729704410.8021531,1268784385.0
2025-01-19 00:00:00+00:00,1255990,443310990,2617516,833965715,125838,41747382,152995,126250670,46904293,12855287367,145873,,383669,599778,176095924,565388,180578607,180970278,610779,180970278.0,385142890587,191586755488032,1.1937303961083257e+19,7188215891424948267159,692632782.6582034,1261335849.0
2025-01-20 00:00:00+00:00,1034076,444345066,1971128,835936843,86182,41833564,164824,126415494,39000494,12894287861,163105,2.0,383669,472930,176285303,428066,180748786,181141197,486293,181141197.0,330001374466,191916756862498,1.3600580927842406e+19,7201816472352790673559,709725668.9307938,1245958095.0
2025-01-21 00:00:00+00:00,884195,445229261,2282705,838219548,98302,41931866,484386,126899880,37157597,12931445458,55255,1.0,383669,614330,176362128,577822,180835027,181227813,628478,181227813.0,306914073916,192223670936414,5.613086990713759e+18,7207429559343504432279,697531100.4840015,1207586440.0
2025-01-22 00:00:00+00:00,757792,445987053,1841739,840061287,84949,42016815,102908,127002788,35418317,12966863775,56179,,383669,349624,176435385,320327,180911243,181304360,362972,181304360.0,284700417480,192508371353894,2.8706103615138806e+18,7210300169705018312855,699691691.954846,1208285439.0
2025-01-23 00:00:00+00:00,814181,446801234,1778339,841839626,71383,42088198,52198,127054986,34807021,13001670796,80724,2.0,383669,326318,176569936,299250,181063932,181457714,347435,181457714.0,309988701742,192818360055636,7.041031318561568e+18,7217341201023579880599,682064920.4946376,1213264310.0
2025-01-24 00:00:00+00:00,796887,447598121,1579122,843418748,101140,42189338,5043,127060029,34591195,13036261991,234985,1.0,383669,461616,176761137,433683,181272683,181667374,479430,181667374.0,313328686234,193131688741870,3.9310594174442e+18,7221272260441024081047,708213451.2771387,1226158877.0
2025-01-25 00:00:00+00:00,785538,448383659,2367984,845786732,71102,42260440,4527,127064556,39310049,13075572040,321538,3.0,383669,931469,177157200,897468,181667862,182073421,964583,182073421.0,341389242990,193473077984860,2.309408726075839e+18,7223581669167099920023,687856383.2237263,1224225117.0
2025-01-26 00:00:00+00:00,733953,449117612,2483881,848270613,72162,42332602,39912,127104468,37153740,13112725780,303598,,383669,939761,177536403,902331,182048521,182454472,955279,182454472.0,330199208279,193803277193139,2.0839233470427113e+18,7225665592514142631063,690535495.0437317,1222911541.0
2025-01-27 00:00:00+00:00,950766,450068378,2366077,850636690,99250,42431852,7397,127111865,37242749,13149968529,275251,,383669,794579,177833632,750481,182333713,182739623,810529,182739623.0,339479921903,194142757115042,8.70655417506605e+18,7234372146689208680599,637106898.4656761,1222993656.0
2025-01-28 00:00:00+00:00,702819,450771197,1689718,852326408,78257,42510109,35430,127147295,29530329,13179498858,260066,,383669,585419,178176840,554335,182685979,183092800,598261,183092800.0,277461304205,194420218419247,3.2814416711400724e+18,7237653588360348753047,669205042.6912665,1147117983.0
2025-01-29 00:00:00+00:00,819502,451590699,2148318,854474726,80968,42591077,11399,127158694,36682124,13216180982,327912,1.0,383669,617301,178544428,590852,183060048,183468538,631904,183468538.0,334598282854,194754816702101,3.932008381876949e+18,7241585596742225702039,658408761.17643,1149609887.0
2025-01-30 00:00:00+00:00,879233,452469932,2457786,856932512,115250,42706327,5378,127164072,39381524,13255562506,414222,1.0,383669,752410,178982240,723408,183491289,183901708,763780,183901708.0,364804238515,195119620940616,2.8861712798161766e+18,7244471768022041879191,679421624.3495004,1047676315.0
2025-01-31 00:00:00+00:00,844739,453314671,2178122,859110634,73489,42779816,31465,127195537,37731126,13293293632,426288,1.0,383669,783471,179384381,752661,183891399,184302943,794731,184302943.0,363240895214,195482861835830,3.8859937536828017e+18,7248357761775724681367,690013859.0883926,1052015210.0
2025-02-01 00:00:00+00:00,870367,454185038,2910166,862020800,62228,42842044,12453,127207990,41233760,13334527392,179057,2.0,383669,764200,179606421,735945,184118565,184531128,778110,184531128.0,351775602758,195834637438588,3.0146149331492977e+18,7251372376708873979031,670806942.9418975,1058528690.0
2025-02-02 00:00:00+00:00,1135519,455320557,2872003,864892803,60148,42902192,87874,127295864,41174084,13375701476,195201,1.0,383669,810101,179831907,782421,184350510,184764113,822744,184764113.0,362521984003,196197159422591,1.2055721786369532e+19,7263428098495243512983,642322933.0558605,1060612587.0
2025-02-03 00:00:00+00:00,1767445,457088002,2786915,867679718,60921,42963113,26869,127322733,52482107,13428183583,51522,2.0,383669,437681,179930021,403959,184468533,184879973,453852,184879973.0,426959140216,196624118562807,4.29311437246859e+19,7306359242219929414807,555795465.365231,1069647012.0
2025-02-04 00:00:00+00:00,1064362,458152364,1899723,869579441,71854,43034967,4260,127326993,51010760,13479194343,103040,11.0,383669,368566,180040615,333380,184586195,184995632,384090,184995632.0,365960261426,196990078824233,4.959754389714347e+18,7311318996609643761815,573176215.8417797,1092751664.0
2025-02-05 00:00:00+00:00,915837,459068201,1637459,871216900,76208,43111175,32935,127359928,55540990,13534735333,44137,4.0,383669,284484,180089444,258121,184645832,185055535,304951,185055535.0,354161157070,197344239981303,4.078220434015637e+18,7315397217043659398807,588228920.649655,1102129238.0
2025-02-06 00:00:00+00:00,945226,460013427,1910932,873127832,68688,43179863,32756,127392684,57763070,13592498403,90327,2.0,383669,364403,180214745,340929,184777904,185188193,382335,185188193.0,385526205381,197729766186684,3.8795559243310633e+18,7319276772967990462103,594391346.1692629,1008303054.0
2025-02-07 00:00:00+00:00,1097931,461111358,2156171,875284003,96181,43276044,2465,127395149,57004956,13649503359,28166,2.0,383669,354111,180272472,313576,184831271,185241798,372203,185241798.0,398927871112,198128694057796,3.8854689648643016e+18,7323162241932854763671,576516358.0045742,923675672.0
2025-02-08 00:00:00+00:00,903841,462015199,2121887,877405890,93916,43369960,2388,127397537,60381842,13709885201,18485,1.0,383669,364186,180329314,311289,184872169,185282877,379773,185282877.0,400245684453,198528939742249,2.0315368174069683e+18,7325193778750261731991,557373867.7788413,829007026.0
2025-02-09 00:00:00+00:00,919744,462934943,2308197,879714087,75316,43445276,77695,127475232,62844364,13772729565,81145,1.0,383669,506928,180443788,451579,184986670,185397888,535150,185397888.0,420215037886,198949154780135,4.0498808928270976e+18,7329243659643088829591,574597751.1251494,832375296.0
2025-02-10 00:00:00+00:00,873608,463808551,2119965,881834052,96774,43542050,79879,127555111,60876485,13833606050,90822,931.0,383669,492912,180614560,463183,185148592,185560531,519203,185560531.0,404380875920,199353535656055,2.9713122092794445e+18,7332214971852368274071,569515235.9792345,836171103.0
2025-02-11 00:00:00+00:00,892142,464700693,1456789,883290841,71621,43613671,3467,127558578,53728513,13887334563,77896,1526.0,383669,336562,180699729,286594,185251613,185661294,358019,185661294.0,367194750124,199720730406179,2.865809419801399e+18,7335080781272169672855,584235653.1341335,840058283.0
2025-02-12 00:00:00+00:00,799333,465500026,1752040,885042881,67466,43681137,45621,127604199,45376575,13932711138,142603,1903.0,383669,595749,180853116,550120,185413506,185823905,613167,185823905.0,338695107975,200059425514154,5.1118097408294e+18,7340192591012999072919,620164306.2909424,748859443.0
