,txs_daily,txs_cumulative,erc20_transfers_daily,erc20_transfers_cumulative,erc721_transfers_daily,erc721_transfers_cumulative,erc1155_transfers_daily,erc1155_transfers_cumulative,internal_operations_daily,internal_operations_cumulative,contracts_daily,contracts_verified_daily,contracts_verified_cumulative,senders_daily,senders_cumulative,receivers_daily,receivers_cumulative,unique_addresses_daily,addresses_daily,addresses_cumulative,gas_used_daily,gas_used_cumulative,burned_fees_daily,burned_fees_cumulative,tvl_daily,stablecoins_daily
2025-01-01 00:00:00+00:00,368535,6221938,225111,2528276,4099,622622,28920,158231,7088052,76006088,559,,16348,17605,551349,11929,637756,637792,19510,637792,123627657925,1576588694980,3.2500202901026904e+20,8607788849463014062687,26394028.050442904,
2025-01-02 00:00:00+00:00,549115,6771053,253658,2781934,3123,625745,33631,191862,11067863,87073951,2149,9.0,16348,19757,555274,14319,642652,642688,22014,642688,186470435034,1763059130014,4.338729944418819e+20,9041661843904895973992,33038331.93378073,
2025-01-03 00:00:00+00:00,703837,7474890,347496,3129430,11348,637093,34854,226716,15233226,102307177,1284,,16348,25073,563535,19647,651733,651770,28059,651770,244238713922,2007297843936,8.406754101619655e+20,9882337254066861439611,39159292.396801315,
2025-01-04 00:00:00+00:00,308342,7783232,329544,3458974,7147,644240,35318,262034,7272683,109579860,683,1.0,16348,20210,567252,14751,656168,656206,22709,656206,108555169365,2115853013301,3.1889614931918304e+20,10201233403386044480138,48898329.4800677,
2025-01-05 00:00:00+00:00,497480,8280712,492950,3951924,8783,653023,38296,300330,12582606,122162466,1358,,16348,22715,571782,17331,661926,661964,26663,661964,191261399415,2307114412716,1.2535166449605225e+21,11454750048346566949575,51446341.39649243,
2025-01-06 00:00:00+00:00,685870,8966582,500134,4452058,6800,659823,37847,338177,17501351,139663817,1070,,16348,24024,576745,17526,667448,667486,26454,667486,251277889996,2558392302712,7.432739702968245e+20,12198024018643391347423,50717776.29027377,
2025-01-07 00:00:00+00:00,706965,9673547,348155,4800213,14974,674797,43986,382163,20231724,159895541,3707,,16348,25422,582092,19492,673647,673686,28096,673686,308571061624,2866963364336,3.184083765619315e+21,15382107784262706264883,57877147.80054888,
2025-01-08 00:00:00+00:00,648943,10322490,415070,5215283,13795,688592,28583,410746,19286080,179181621,427,2.0,16348,18772,584184,12440,676389,676428,20989,676428,294709974970,3161673339306,3.771782447761269e+21,19153890232023974673255,55648231.34794108,
2025-01-09 00:00:00+00:00,423669,10746159,432590,5647873,36801,725393,34954,445700,13687244,192868865,582,,16348,20727,586330,13662,679083,679123,22803,679123,177263135527,3338936474833,1.8438577183873945e+21,20997747950411368889220,68860328.9866279,
2025-01-10 00:00:00+00:00,509806,11255965,455048,6102921,28509,753902,30554,476254,16929181,209798046,624,,16348,19823,588610,13068,681594,681635,22006,681635,223150744456,3562087219289,3.0445233995393684e+21,24042271349950737284063,83573124.01539949,
2025-01-11 00:00:00+00:00,622909,11878874,510541,6613462,25205,779107,36073,512327,18795364,228593410,562,,16348,44793,615687,39086,709888,709931,47851,709931,249748718072,3811835937361,3.806429868649568e+21,27848701218600305032209,91259438.1706056,
2025-01-12 00:00:00+00:00,817296,12696170,609309,7222771,33631,812738,34327,546654,22072384,250665794,334,,16348,68658,649848,46421,745150,745198,71047,745198,296990038094,4108825975455,2.92284831234527e+21,30771549530945575189619,99941736.03354993,
2025-01-13 00:00:00+00:00,976738,13672908,448045,7670816,17462,830200,35014,581668,27951532,278617326,427,,16348,47591,653576,18598,751013,751062,51536,751062,432203407126,4541029382581,4.285972438280664e+21,35057521969226238917771,107188450.72557735,
2025-01-14 00:00:00+00:00,430634,14103542,377043,8047859,15003,845203,29604,611272,12230115,290847441,426,,16348,35914,668807,30021,769541,769581,41567,769581,161370167608,4702399550189,2.99406371174853e+21,38051585680974769028329,118811745.16432244,
2025-01-15 00:00:00+00:00,403248,14506790,422617,8470476,18844,864047,16191,627463,12881836,303729277,601,,16348,35664,676403,20372,779925,779956,40922,779956,173347165093,4875746715282,7.179668197757711e+21,45231253878732480052580,128901041.83054343,
2025-01-16 00:00:00+00:00,387416,14894206,468458,8938934,11964,876011,15881,643344,10013014,313742291,799,,16348,27799,688284,24719,794847,794880,32939,794880,144009979936,5019756695218,1.1416333693962382e+22,56647587572694862528250,152884376.95002514,
2025-01-17 00:00:00+00:00,221539,15115745,333566,9272500,8958,884969,10835,654179,5322435,319064726,539,,16348,23215,696682,18874,804560,804593,27970,804593,68141064123,5087897759341,7.689386852628576e+21,64336974425323439128410,160451664.26042682,
2025-01-18 00:00:00+00:00,382918,15498663,466212,9738712,20835,905804,13141,667320,11618683,330683409,281,,16348,18731,700420,13687,807958,807992,21897,807992,150081427339,5237979186680,1.1189905323615056e+22,75526879748938496999676,166843217.01926157,
2025-01-19 00:00:00+00:00,468101,15966764,514203,10252915,24029,929833,12640,679960,14396575,345079984,224,,16348,25608,703619,13967,812564,812598,29170,812598,177392587300,5415371773980,1.23462414795854e+22,87873121228523896046175,172052011.74933672,
2025-01-20 00:00:00+00:00,318288,16285052,441644,10694559,20808,950641,13115,693075,9993149,355073133,394,,16348,18018,706044,12759,816610,816644,21666,816644,123903164533,5539274938513,9.22984192791424e+21,97102963156438137700971,173284244.99024346,
2025-01-21 00:00:00+00:00,342398,16627450,544691,11239250,24656,975297,16335,709410,10890525,365963658,371,1.0,16348,18808,709178,13714,821319,821354,22443,821354,128994756987,5668269695500,8.319220266154182e+21,105422183422592320012969,173257759.51237252,
2025-01-22 00:00:00+00:00,329077,16956527,466026,11705276,25416,1000713,15416,724826,8634841,374598499,798,,16348,21300,713194,17017,828078,828114,27221,828114,108722252142,5776991947642,6.829095958007302e+21,112251279380599622337335,204296080.4740216,
2025-01-23 00:00:00+00:00,276141,17232668,474001,12179277,22466,1023179,14689,739515,8587103,383185602,819,2.0,16348,20413,716712,13005,832408,832443,23382,832443,105770421399,5882762369041,6.477358771077809e+21,118728638151677431251928,190301356.2670751,
2025-01-24 00:00:00+00:00,236455,17469123,362309,12541586,21134,1044313,13060,752575,7645451,390831053,383,,16348,18105,719129,11537,835368,835404,20910,835404,95741728534,5978504097575,6.23245851288325e+21,124961096664560681354375,205977568.12409222,
2025-01-25 00:00:00+00:00,164455,17633578,255045,12796631,16213,1060526,13496,766071,5270936,396101989,479,,16348,17177,721961,11563,839095,839131,20163,839131,64948497506,6043452595081,3.990126929164712e+21,128951223593725393110191,205530022.35297763,
2025-01-26 00:00:00+00:00,181373,17814951,253709,13050340,13057,1073583,13408,779479,4654176,400756165,345,,16348,17563,724189,11201,842431,842468,20170,842468,63336106562,6106788701643,4.298692132394077e+21,133249915726119469581510,230587449.12570933,
2025-01-27 00:00:00+00:00,296880,18111831,445224,13495564,14619,1088202,14778,794257,7821760,408577925,619,,16348,18121,726579,11335,845062,845099,20586,845099,104981840532,6211770542175,7.747609372633333e+21,140997525098752803341603,242438767.9673125,
2025-01-28 00:00:00+00:00,172004,18283835,290668,13786232,11416,1099618,13932,808189,5064697,413642622,341,1.0,16348,15534,727926,9636,846981,847018,17817,847018,64287727094,6276058269269,4.008237698071517e+21,145005762796824320279882,256234669.79721496,
2025-01-29 00:00:00+00:00,207537,18491372,362358,14148590,17173,1116791,14687,822876,6000678,419643300,440,,16348,16713,729424,9707,849210,849247,19146,849247,78367955260,6354426224529,5.114422804046913e+21,150120185600871233226293,252674010.51570293,64046817.0
2025-01-30 00:00:00+00:00,201692,18693064,375232,14523822,16236,1133027,13985,836861,6246135,425889435,304,,16348,26825,734854,20721,855190,855228,29330,855228,75511180839,6429937405368,4.5568710010188134e+21,154677056601890047133246,272561131.7058188,66029819.0
2025-01-31 00:00:00+00:00,245697,18938761,500834,15024656,16125,1149152,15898,852759,7270894,433160329,375,,16348,27545,743451,20053,863840,863879,29889,863879,87088812153,6517026217521,5.465868784860629e+21,160142925386750676436758,292868427.7525691,67507124.0
2025-02-01 00:00:00+00:00,182701,19121462,368702,15393358,13412,1162564,14431,867190,5479240,438639569,189,,16348,16307,745550,12498,867638,867677,20989,867677,67735152482,6584761370003,4.063473432339311e+21,164206398819089987143482,286248131.20869553,69292783.0
2025-02-02 00:00:00+00:00,327480,19448942,521725,15915083,12173,1174737,14964,882154,9062176,447701745,193,,16348,16679,746940,9562,869191,869230,18708,869230,122691982811,6707453352814,7.974214342129971e+21,172180613161219958507402,279205479.8827717,67144865.0
2025-02-03 00:00:00+00:00,494377,19943319,722177,16637260,26992,1201729,17545,899699,13034023,460735768,358,,16348,21268,749923,13874,872276,872315,23891,872315,174358884552,6881812237366,1.2424990579717044e+22,184605603740937002682601,266657829.8904064,69653361.0
2025-02-04 00:00:00+00:00,289826,20233145,470253,17107513,14436,1216165,15525,915224,8434100,469169868,333,20.0,16348,17550,751452,9328,874090,874130,19497,874130,105483749815,6987295987181,6.749861156955643e+21,191355464897892646127996,278574979.10434896,63323911.0
2025-02-05 00:00:00+00:00,240059,20473204,397512,17505025,28611,1244776,18472,933696,6981737,476151605,332,,16348,19238,753009,11054,875970,876009,21361,876009,91311994691,7078607981872,5.644175061978538e+21,196999639959871184177739,287465476.22381866,61230513.0
2025-02-06 00:00:00+00:00,335084,20808288,526909,18031934,30845,1275621,15925,949621,9443023,485594628,596,8.0,16348,20363,754384,12506,877853,877893,22544,877893,126891468343,7205499450215,8.043162931047949e+21,205042802890919133317783,303950321.7474088,62370946.0
2025-02-07 00:00:00+00:00,280262,21088550,428511,18460445,23960,1299581,15764,965385,7899966,493494594,371,,16348,18966,756196,11139,879960,880000,21057,880000,105103835483,7310603285698,6.72564067229151e+21,211768443563210642819883,321240524.89839023,62535492.0
2025-02-08 00:00:00+00:00,267836,21356386,395442,18855887,26157,1325738,14277,979662,7340190,500834784,306,,16348,18769,758122,11733,883509,883549,21673,883549,100094574417,7410697860115,6.504281188960646e+21,218272724752171288759243,301073422.6331451,64299633.0
2025-02-09 00:00:00+00:00,254923,21611309,356136,19212023,27371,1353109,14029,993691,8026273,508861057,260,,16348,18500,760181,10372,885175,885215,20703,885215,105569875127,7516267735242,6.50103315873634e+21,224773757910907628555371,306557120.58567226,59858879.0
